Dates_issued,Main_Allocation,Voucher_No.,Type_Product,Vaccines/diluents & Supplies,Batch_No., Qty_issued 
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,BCG,0379G052,180 000
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,180 000
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,MR,0128F477,126 000
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,dil_MR,0688S1446,126 000
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,31 500
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,300 000
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,IPV,1901007A,44 800
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,DTP-HepB-Hib,220106319A,159 360
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,PCV-13,AP3577,113 400
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,PCV-13,AP9646,14 400
08-Jan-20,Zambézia,01/PAV-DNV/2020,VAC/DIL,TT,2309L001C,121 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,BCG,0379G052,120 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,120 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,MR,0128F477,60 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,dil_MR,0688S1446,60 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,31 500
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,100 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,IPV,1901007A,9 800
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,IPV,1901008A,12 600
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,DTP-HepB-Hib,220106319A,63 360
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,PCV-13,AP9646,72 000
08-Jan-20,Niassa,02/PAV-DNV/2020,VAC/DIL,TT,2309L001C,66 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,BCG,0379G052,72 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,72 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,MR,0128M084,60 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,dil_MR,0688S1446,60 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,150 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,IPV,1901008A,32 200
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,DTP-HepB-Hib,220106319A,90 240
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,PCV-13,AP9646,92 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,TT,2309L001C,120 000
22-Jan-20,Cabo Delgado,06/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,9 000
08-Jan-20,Nampula,03/PAV-DNV/2020,VAC/DIL,BCG,0379G052,72 000
08-Jan-20,Nampula,03/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,72 000
08-Jan-20,Nampula,03/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,15 000
08-Jan-20,Nampula,03/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,100 000
08-Jan-20,Nampula,03/PAV-DNV/2020,VAC/DIL,IPV,1901008A,33 600
24-Jan-20,Cidade de Maputo,04/PAV-DNV/2020,VAC/DIL,BCG,0379G052,8 000
24-Jan-20,Cidade de Maputo,04/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,8 000
24-Jan-20,Cidade de Maputo,04/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,11 000
24-Jan-20,Cidade de Maputo,04/PAV-DNV/2020,VAC/DIL,PCV-13,AP9646,36 000
24-Jan-20,Cidade de Maputo,04/PAV-DNV/2020,VAC/DIL,IPV,1901008A,12 600
24-Jan-20,Cidade de Maputo,06/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,4 500
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,BCG,0379G052,96 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,dil_BCG,070S4017,96 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,MR,0128M084,126 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,MR,0128F477,24 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,dil_MR,0688S1489,150 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905442,202 000
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,bOPV,PBV1905041,21 340
22-Jan-20,Nampula,07/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC394AA,4 500
